	GeneIndex	Name
267	267	gp40
267	267	pa2.26
267	267	d2-40
268	268	prdm2
268	268	riz
268	268	riz1
268	268	riz2
268	268	kmt8
268	268	mtb-zf
268	268	humhoxy1
268	268	kmt8a
269	269	ak124197
270	270	kazn
270	270	c1orf196
270	270	kiaa1026
270	270	kazrin
270	270	flj43806
271	271	tmem51-as1
271	271	c1orf126
271	271	flj23703
272	272	tmem51
272	272	c1orf72
272	272	flj10199
273	273	fhad1
273	273	kiaa1937
274	274	ak055853
275	275	efhd2
275	275	mgc4342
276	276	ctrc
276	276	clcr
276	276	ela4
277	277	cela2a
277	277	ela2a
278	278	cela2b
278	278	rp11-265f14.2
278	278	ela2b
279	279	casp9
279	279	mch6
279	279	ice-lap6
279	279	apaf-3
279	279	ppp1r56
280	280	dnajc16
280	280	kiaa0962
281	281	agmat
281	281	flj23384
282	282	ddi2
282	282	mgc14844
283	283	rsc1a1
283	283	rs1
284	284	dq573015
285	285	plekhm2
285	285	kiaa0842
286	286	slc25a34
286	286	dkfzp781a10161
287	287	tmem82
288	288	fblim1
288	288	fblp-1
288	288	cal
288	288	migfilin
289	289	uqcrhl
290	290	spen-as1
290	290	flj37453
291	291	spen
291	291	kiaa0929
291	291	mint
291	291	sharp
291	291	rbm15c
292	292	zbtb17
292	292	znf151
292	292	znf60
292	292	miz1
292	292	phz-67
293	293	dq576383
294	294	srarp
294	294	c1orf64
294	294	mgc24047
294	294	errf
295	295	hspb7
295	295	cvhsp
296	296	clcnka
296	296	hclc-ka
297	297	clcnkb
297	297	hclc-kb
298	298	fam131c
298	298	c1orf117
298	298	flj36766
299	299	epha2
299	299	eck
300	300	arhgef19
300	300	flj33962
300	300	wgef
301	301	cplane2
301	301	c1orf89
301	301	rsg1
301	301	mgc10731
302	302	fbxo42
302	302	kiaa1332
302	302	fbx42
303	303	szrd1
303	303	c1orf144
303	303	dkfzp566c0424
304	304	al832937
305	305	spata21
305	305	spergen-2
305	305	spergen2
306	306	necap2
306	306	flj10420
307	307	croccp3
307	307	croccl2
307	307	kiaa1922
308	308	trna_asn
309	309	bc036435
310	310	ax747988
311	311	trna_gly
312	312	trna_pseudo_2
313	313	nbpf1
313	313	flj20719
313	313	kiaa1693
314	314	croccp2
314	314	croccl1
314	314	mgc12760
315	315	bc015342
316	316	flj00313
317	317	mst1p2
317	317	mstp2
317	317	mspl2
317	317	mspl-2
318	318	trna_val
319	319	espnp
320	320	crocc
320	320	rootletin
320	320	rolt
320	320	crocc1
321	321	mst1l
321	321	mstp7
321	321	mstp9
321	321	mst1p9
321	321	d1f15s1a
321	321	mspl7
321	321	mspl-7
322	322	mi0016076
323	323	ak125737
324	324	bc070363
325	325	dl489931
326	326	mfap2
326	326	magp
326	326	magp-1
327	327	atp13a2
327	327	park9
327	327	hsa9947
327	327	cln12
328	328	sdhb
328	328	sdh1
328	328	sdh
329	329	padi2
329	329	kiaa0994
329	329	pdi2
330	330	padi1
330	330	hpad10
330	330	pdi1
330	330	pdi
330	330	pad1
331	331	padi3
331	331	pdi3
332	332	mi0016990
333	333	padi4
333	333	padi5
333	333	pad
333	333	pdi5
333	333	pdi4
334	334	padi6
335	335	rcc2
335	335	td-60
336	336	arhgef10l
336	336	flj10521
336	336	kiaa1626
337	337	actl8
337	337	ct57
338	338	igsf21
338	338	mgc15730
338	338	rp11-121a23.1
339	339	ax747631
340	340	klhdc7a
340	340	flj38753
341	341	pax7
341	341	hup1
342	342	tas1r2
342	342	gpr71
342	342	t1r2
342	342	tr2
343	343	aldh4a1
343	343	aldh4
343	343	p5cdh
344	344	mi0017328
345	345	mi0006352
346	346	iffo2
347	347	ax747516
348	348	ubr4
348	348	zubr1
348	348	kiaa1307
348	348	kiaa0462
348	348	rbaf600
348	348	p600
349	349	emc1
349	349	kiaa0090
350	350	mrto4
350	350	c1orf33
350	350	dj657e11.4
350	350	mrt4
351	351	akr7l
351	351	afar3
352	352	akr7a3
353	353	loc100506730
354	354	akr7a2
354	354	afar
355	355	slc66a1
355	355	pqlc2
355	355	flj20320
355	355	laat-1
355	355	laat1
356	356	capzb
357	357	ax748283
358	358	metazoa_srp
359	359	micos10
359	359	c1orf151
359	359	minos1
359	359	rp5-1056l3.2
359	359	flj36999
359	359	mio10
359	359	mic10
360	360	micos10-nbl1
360	360	minos1-nbl1
361	361	rps14p3
362	362	nbl1
362	362	d1s1733e
362	362	nb
362	362	dan
362	362	no3
362	362	dand1
363	363	htr6
363	363	5-ht6
363	363	5-ht6r
364	364	tmco4
364	364	dkfzp686c23231
365	365	rnf186
365	365	flj20225
366	366	otud3
366	366	kiaa0459
366	366	duba4
367	367	pla2g2e
368	368	pla2g2a
368	368	pla2b
368	368	pla2l
369	369	pla2g5
370	370	pla2g2d
370	370	spla2s
371	371	pla2g2f
372	372	pla2g2c
372	372	ubxn10-as1
373	373	ubxn10
373	373	ubxd3
373	373	flj25429
374	374	vwa5b1
374	374	flj32784
375	375	loc339505
376	376	camk2n1
376	376	camkiinalpha
377	377	mul1
377	377	c1orf166
377	377	flj12875
377	377	mulan
377	377	rnf218
377	377	mapl
377	377	gide
378	378	fam43b
378	378	flj44952
379	379	cda
379	379	cdd
380	380	pink1
380	380	park6
380	380	brpk
381	381	mi0020361
382	382	ddost
382	382	ost
382	382	kiaa0115
382	382	ost48
382	382	wbp1
383	383	kif17
383	383	kiaa1405
383	383	kif3x
383	383	kif17b
383	383	osm-3
383	383	klp-2
384	384	sh2d5
385	385	hp1bp3
385	385	hp1-bp74
386	386	eif4g3
386	386	eif4gii
387	387	mi0006390
388	388	ece1
388	388	ece
389	389	ax747766
390	390	loc100506801
391	391	ak098438
392	392	bc127868
393	393	nbpf3
393	393	ae2
394	394	alpl
394	394	hops
394	394	tnsalp
394	394	tnalp
394	394	tnap
395	395	rap1gap
395	395	rap1ga1
395	395	kiaa0474
395	395	rap1gap1
395	395	rap1gapii
396	396	usp48
396	396	usp31
396	396	flj23277
396	396	flj11328
396	396	flj20103
396	396	flj23054
396	396	mgc14879
397	397	ldlrad2
398	398	hspg2
398	398	sjs1
398	398	perlecan
398	398	prcan
399	399	cela3b
399	399	ela3b
399	399	cbpp
400	400	cela3a
400	400	ela3a
400	400	ela3
401	401	linc00339
401	401	ncrna00339
401	401	hspc157
402	402	cdc42
402	402	g25k
402	402	cdc42hs
403	403	wnt4
403	403	wnt-4
404	404	mi0016754
405	405	zbtb40
405	405	kiaa0478
405	405	znf923
406	406	epha8
406	406	eek
406	406	hek3
407	407	mi0021271
408	408	c1qa
409	409	c1qc
409	409	c1qg
410	410	c1qb
411	411	ephb2
411	411	drt
411	411	erk
411	411	epht3
411	411	hek5
411	411	tyro5
412	412	mi0017316
413	413	mi0015860
414	414	ak025975
415	415	loc729059
416	416	kdm1a
416	416	aof2
416	416	kdm1
416	416	kiaa0601
416	416	bhc110
416	416	lsd1
417	417	mi0014127
418	418	mi0016755
419	419	luzp1
419	419	luzp
420	420	rnu6-50p
420	420	rnu6p1
420	420	rnu6-50
420	420	u6
421	421	htr1d
421	421	htrl
421	421	rdc4
421	421	ht1da
421	421	5-ht1d
422	422	hnrnpr
422	422	hnrpr
422	422	hnrnp-r
423	423	znf436
423	423	kiaa1710
423	423	zfp46
424	424	znf436-as1
424	424	c1orf213
424	424	flj90508
425	425	tcea3
425	425	tfiis.h
426	426	asap3
426	426	ddefl1
426	426	flj20199
426	426	uplc1
426	426	centb6
427	427	bc038455
428	428	e2f2
428	428	e2f-2
429	429	ax748204
430	430	id3
430	430	heir-1
430	430	bhlhb25
431	431	mds2
432	432	rpl11
432	432	l11
432	432	ul5
433	433	eloa
433	433	tceb3
433	433	siii
433	433	tceb3a
434	434	loc100506963
435	435	pithd1
435	435	c1orf128
435	435	ht014
435	435	txnl1cl
436	436	lypla2
436	436	apt-2
437	437	gale
437	437	sdr1e1
438	438	hmgcl
438	438	hl
439	439	fuca1
440	440	pcdha6
440	440	cnrs2
440	440	cnr2
440	440	crnr2
440	440	pcdh-alpha6
441	441	mi0016756
442	442	pnrc2
443	443	ak054635
444	444	srsf10
444	444	fusip2
444	444	fusip1
444	444	sfrs13a
444	444	tasr1
444	444	tasr2
444	444	srp38
444	444	srrp40
444	444	sfrs13
444	444	ppp1r149
445	445	dq588542
446	446	myom3
446	446	flj35961
447	447	il22ra1
447	447	il22r
447	447	crf2-9
448	448	ifnlr1
448	448	il28ra
448	448	crf2/12
448	448	ifnlr
448	448	il-28r1
449	449	loc284632
450	450	dq597487
451	451	dq601330
452	452	grhl3
452	452	tfcp2l4
452	452	som
453	453	stpg1
453	453	c1orf201
453	453	flj33340
453	453	mapo2
454	454	nipal3
454	454	npal3
454	454	dj462o23.2
454	454	slc57a5
455	455	rcan3as
455	455	tcons_00001428
456	456	rcan3
456	456	dscr1l2
457	457	ncmap
457	457	c1orf130
457	457	flj42528
457	457	mp11
458	458	srrm1
458	458	srm160
458	458	pop101
458	458	mgc39488
459	459	clic4
459	459	dkfzp566g223
459	459	clic4l
459	459	p64h1
459	459	h1
459	459	huh1
459	459	p64h1
460	460	z24749
461	461	runx3
461	461	cbfa3
461	461	aml2
461	461	pebp2a3
462	462	ax747207
463	463	mi0022576
464	464	mi0016764
465	465	syf2
465	465	cbpin
465	465	p29
465	465	dkfzp564o2082
465	465	ntc31
465	465	fsap29
466	466	rsrp1
466	466	c1orf63
466	466	dj465n24.2.1
467	467	rhd
467	467	rh
467	467	rh30a
467	467	rh4
467	467	rhpi
467	467	rhii
467	467	diiic
467	467	cd240d
468	468	ax747205
469	469	tmem50a
469	469	smp1
470	470	rhce
470	470	rh
470	470	cd240ce
471	471	maco1
471	471	tmem57
471	471	flj10747
472	472	ldlrap1
472	472	arh
472	472	arh2
472	472	fhcb1
472	472	fhcb2
472	472	mgc34705
472	472	dkfzp586d0624
473	473	man1c1
473	473	hmic
474	474	selenon
474	474	rsmd1
474	474	mdrs1
474	474	sepn1
474	474	seln
474	474	rss
475	475	mtfr1l
475	475	fam54b
476	476	loc646471
477	477	aunip
477	477	c1orf135
477	477	mgc2603
477	477	aibp
478	478	paqr7
478	478	msr
478	478	mpra
478	478	pglp
479	479	stmn1
479	479	lap18
479	479	c1orf215
479	479	smn
479	479	op18
479	479	pr22
479	479	pp19
479	479	pp17
479	479	lag
479	479	flj32206
480	480	mi0016423
481	481	pafah2
481	481	hsd-pla2
482	482	extl1
482	482	extl
482	482	mgc70794
483	483	slc30a2
483	483	znt2
484	484	trim63
484	484	rnf28
484	484	murf-1
484	484	irf
484	484	smrz
485	485	pdik1l
485	485	clik1l
486	486	fam110d
486	486	grrp1
486	486	flj14050
487	487	znf593
487	487	zt86
488	488	cnksr1
488	488	cnk1
488	488	ksr
488	488	cnk
489	489	catsper4
490	490	bc030768
491	491	cep85
491	491	ccdc21
491	491	dkfzp434l0117
492	492	sh3bgrl3
493	493	ubxn11
493	493	ubxd5
493	493	soc
493	493	soci
494	494	cd52
494	494	cdw52
494	494	he5
494	494	eddm5
495	495	crybg2
495	495	aim1l
495	495	flj38020
496	496	znf683
496	496	mgc33414
496	496	hobit
497	497	lin28a
497	497	lin28
497	497	lin-28
497	497	flj12457
497	497	zcchc1
497	497	csdd1
498	498	dhdds
498	498	hds
498	498	flj13102
498	498	ds
498	498	rp59
498	498	hcit
499	499	al050085
500	500	hmgn2
500	500	hmg17
501	501	rps6ka1
501	501	rsk1
501	501	hu-1
501	501	p90rsk
501	501	mapkapk1
502	502	mi0009986
503	503	arid1a
503	503	c1orf4
503	503	smarcf1
503	503	b120
503	503	p270
503	503	c10rf4
503	503	baf250
503	503	baf250a
504	504	pigv
504	504	flj20477
505	505	bc016143
506	506	zdhhc18
506	506	dkfzp667o2416
507	507	sfn
507	507	ywhas
508	508	gpn2
508	508	atpbd1b
508	508	flj10349
509	509	gpatch3
509	509	gpatc3
509	509	flj12455
510	510	nr0b2
510	510	shp
511	511	nudc
512	512	kdf1
512	512	c1orf172
512	512	flj34633
512	512	rp11-344h11.3
513	513	trp-agg2-6
513	513	trnp1
513	513	trp2
513	513	trnap2
513	513	trp-agg2-4
513	513	trna-pro-agg-2-6
514	514	tent5b
514	514	fam46b
514	514	mgc16491
515	515	slc9a1
515	515	apnh
515	515	nhe1
515	515	nhe-1
515	515	ppp1r143
516	516	dl490887
517	517	wdtc1
517	517	kiaa1037
517	517	adp
517	517	dcaf9
518	518	tmem222
518	518	c1orf160
518	518	dkfzp564d0478
519	519	loc644961
520	520	sytl1
520	520	slp1
520	520	jfc1
520	520	flj14996
520	520	exophilin-7
521	521	map3k6
521	521	mapkkk6
521	521	ask2
521	521	mekk6
522	522	fcn3
522	522	fcnh
522	522	haka1
523	523	cd164l2
524	524	gpr3
524	524	acca
525	525	wasf2
525	525	wave2
525	525	scar2
526	526	ahdc1
526	526	dj159a19.3
526	526	rp1-159a19.1
