,GeneIndex,Name,Log2FoldChange,AdjustedPValue
5369,5369,MGC12965,0.0,1.0
5370,5370,POLD3,0.0,1.0
5371,5371,CHRDL2,-1.5731084024867,7.45e-07
5372,5372,MI0017329,0.0,1.0
5373,5373,RNF169,0.0,1.0
5374,5374,XRRA1,0.0,1.0
5375,5375,SPCS2,0.0,1.0
5376,5376,NEU3,0.0,1.0
5377,5377,DQ592682,0.0,1.0
5378,5378,DQ583960,0.0,1.0
5379,5379,DQ595000,0.0,1.0
5380,5380,DQ591572,0.0,1.0
5381,5381,OR2AT4,0.0,1.0
5382,5382,SLCO2B1,0.0,1.0
5383,5383,TPBGL,1.08485473530681,2.76e-14
5384,5384,ARRB1,0.0,1.0
5385,5385,MI0000808,0.0,1.0
5386,5386,RPS3,0.0,1.0
5387,5387,SNORD15A,0.0,1.0
5388,5388,SNORD15B,0.0,1.0
5389,5389,KLHL35,0.0,1.0
5390,5390,GDPD5,-1.03781911919069,8.65e-12
5391,5391,SERPINH1,0.0,1.0
5392,5392,MAP6,0.0,1.0
5393,5393,MOGAT2,0.0,1.0
5394,5394,LOC283214,0.0,1.0
5395,5395,DGAT2,-1.53764733319051,0.000141726373921
5396,5396,UVRAG,0.0,1.0
5397,5397,WNT11,0.0,1.0
5398,5398,TRNA_Pro_5,0.0,1.0
5399,5399,PRKRIR,0.0,1.0
5400,5400,AK125821,0.0,1.0
5401,5401,C11orf30,0.0,1.0
5402,5402,LRRC32,0.0,1.0
5403,5403,GUCY2EP,0.0,1.0
5404,5404,TSKU,0.0,1.0
5405,5405,ACER3,0.0,1.0
5406,5406,B3GNT6,0.0,1.0
5407,5407,CAPN5,0.0,1.0
5408,5408,OMP,0.0,1.0
5409,5409,MYO7A,0.0,1.0
5410,5410,GDPD4,0.0,1.0
5411,5411,PAK1,1.42516964795755,1.08e-32
5412,5412,AQP11,0.0,1.0
5413,5413,CLNS1A,0.0,1.0
5414,5414,RSF1,0.0,1.0
5415,5415,AAMDC,0.0,1.0
5416,5416,INTS4_2,0.0,1.0
5417,5417,KCTD14,0.0,1.0
5418,5418,NDUFC2-KCTD14,0.0,1.0
5419,5419,THRSP,0.0,1.0
5420,5420,NDUFC2,0.0,1.0
5421,5421,ALG8,0.0,1.0
5422,5422,LOC100289388,0.0,1.0
5423,5423,KCTD21,0.0,1.0
5424,5424,USP35,0.0,1.0
5425,5425,GAB2,0.0,1.0
5426,5426,NARS2,0.0,1.0
5427,5427,BC042472,0.0,1.0
5428,5428,TENM4,-1.20781539222824,8.04e-05
5429,5429,ODZ4,0.0,1.0
5430,5430,BC008359,0.0,1.0
5431,5431,MI0005543,0.0,1.0
5432,5432,MI0019133,0.0,1.0
5433,5433,BC041900,0.0,1.0
5434,5434,MI0015831,0.0,1.0
5435,5435,FAM181B,0.0,1.0
5436,5436,PRCP,0.0,1.0
5437,5437,C11orf82,0.0,1.0
5438,5438,RAB30,0.0,1.0
5439,5439,SNORA70E,0.0,1.0
5440,5440,LOC100506233,0.0,1.0
5441,5441,PCF11,0.0,1.0
5442,5442,AK311356,0.0,1.0
5443,5443,ANKRD42,0.0,1.0
5444,5444,CCDC90B,0.0,1.0
5445,5445,BC070093,0.0,1.0
5446,5446,DLG2,0.0,1.0
5447,5447,TMEM126B,0.0,1.0
5448,5448,TMEM126A,0.0,1.0
5449,5449,CREBZF,0.0,1.0
5450,5450,CCDC89,0.0,1.0
5451,5451,SYTL2,0.0,1.0
5452,5452,CCDC83,0.0,1.0
5453,5453,PICALM,0.0,1.0
5454,5454,BC016143_5,0.0,1.0
5455,5455,EED,0.0,1.0
5456,5456,MI0022600,0.0,1.0
5457,5457,C11orf73,0.0,1.0
5458,5458,CCDC81,0.0,1.0
5459,5459,ME3,0.0,1.0
5460,5460,PRSS23,0.0,1.0
5461,5461,AL832007,0.0,1.0
5462,5462,OR7E2P,0.0,1.0
5463,5463,FZD4,-1.15016585181352,1.22e-06
5464,5464,LOC100506368,0.0,1.0
5465,5465,TMEM135,0.0,1.0
5466,5466,RAB38,0.0,1.0
5467,5467,MI0014196,0.0,1.0
5468,5468,CTSC,0.0,1.0
5469,5469,BC038205,0.0,1.0
5470,5470,GRM5-AS1,0.0,1.0
5471,5471,GRM5,0.0,1.0
5472,5472,TYR,0.0,1.0
5473,5473,NOX4,0.0,1.0
5474,5474,AB231784,0.0,1.0
5475,5475,FOLH1B,0.0,1.0
5476,5476,TRIM77,0.0,1.0
5477,5477,TRIM49,0.0,1.0
5478,5478,LOC642414,0.0,1.0
5479,5479,TRIM53AP,0.0,1.0
5480,5480,TRIM64B,0.0,1.0
5481,5481,TRIM49D2P,0.0,1.0
5482,5482,TRIM64,0.0,1.0
5483,5483,TRIM49C,0.0,1.0
5484,5484,LOC440061,0.0,1.0
5485,5485,UBTFL1,0.0,1.0
5486,5486,NAALAD2,0.0,1.0
5487,5487,CHORDC1,0.0,1.0
5488,5488,HP11113,0.0,1.0
5489,5489,MI0016852,0.0,1.0
5490,5490,MI0006396,0.0,1.0
5491,5491,FAT3,0.0,1.0
5492,5492,MTNR1B,0.0,1.0
5493,5493,AK093898,0.0,1.0
5494,5494,SLC36A4,0.0,1.0
5495,5495,CCDC67,0.0,1.0
5496,5496,SMCO4,0.0,1.0
5497,5497,KIAA1731,0.0,1.0
5498,5498,SCARNA9,0.0,1.0
5499,5499,TAF1D,0.0,1.0
5500,5500,SNORA8,0.0,1.0
5501,5501,SNORD5,0.0,1.0
5502,5502,SNORA18,0.0,1.0
5503,5503,MI0006371,0.0,1.0
5504,5504,SNORA40_4,0.0,1.0
5505,5505,C11orf54,0.0,1.0
5506,5506,MED17,0.0,1.0
5507,5507,VSTM5,0.0,1.0
5508,5508,HEPHL1,1.65074820142524,1.55e-05
5509,5509,AF086184,0.0,1.0
5510,5510,PANX1,1.27210452532266,1.42e-07
5511,5511,FOLR4,0.0,1.0
5512,5512,GPR83,0.0,1.0
5513,5513,MRE11A,0.0,1.0
5514,5514,MI0006361,0.0,1.0
5515,5515,ANKRD49,0.0,1.0
5516,5516,LOC643037,0.0,1.0
5517,5517,PIWIL4,1.31135993619784,0.000860358508303
5518,5518,FUT4,0.0,1.0
5519,5519,AMOTL1,0.0,1.0
5520,5520,CWC15,0.0,1.0
5521,5521,KDM4D,0.0,1.0
5522,5522,KDM4E,0.0,1.0
5523,5523,SRSF8,0.0,1.0
5524,5524,ENDOD1,0.0,1.0
5525,5525,AK055250,0.0,1.0
5526,5526,SESN3,0.0,1.0
5527,5527,5S_rRNA_70,0.0,1.0
5528,5528,FAM76B,0.0,1.0
5529,5529,CEP57,0.0,1.0
5530,5530,MTMR2,0.0,1.0
5531,5531,MAML2,0.0,1.0
5532,5532,MI0014197,0.0,1.0
5533,5533,CCDC82,0.0,1.0
5534,5534,AK313893,0.0,1.0
5535,5535,JRKL,0.0,1.0
5536,5536,JRKL-AS1,0.0,1.0
5537,5537,CNTN5,0.0,1.0
5538,5538,Metazoa_SRP_56,0.0,1.0
5539,5539,AK124326,0.0,1.0
5540,5540,ARHGAP42,0.0,1.0
5541,5541,TMEM133,0.0,1.0
5542,5542,PGR,0.0,1.0
5543,5543,LOC101054525,0.0,1.0
5544,5544,TRPC6,0.0,1.0
5545,5545,MI0016427,0.0,1.0
5546,5546,ANGPTL5,0.0,1.0
5547,5547,KIAA1377,0.0,1.0
5548,5548,C11orf70,0.0,1.0
5549,5549,BC040646,0.0,1.0
5550,5550,YAP1,0.0,1.0
5551,5551,U6_95,0.0,1.0
5552,5552,BIRC3,0.0,1.0
5553,5553,BIRC2,0.0,1.0
5554,5554,TMEM123,0.0,1.0
5555,5555,MMP7,0.0,1.0
5556,5556,MMP20,0.0,1.0
5557,5557,MMP27,0.0,1.0
5558,5558,MMP8,0.0,1.0
5559,5559,AB231724,0.0,1.0
5560,5560,MMP10,0.0,1.0
5561,5561,WTAPP1,0.0,1.0
5562,5562,MMP1,0.0,1.0
5563,5563,MMP3,1.10686525354005,0.007825565612938
5564,5564,DD413629,0.0,1.0
5565,5565,MMP12,1.44073775591138,0.000351207301912
5566,5566,MMP13,0.0,1.0
5567,5567,DCUN1D5,0.0,1.0
5568,5568,DYNC2H1,0.0,1.0
5569,5569,MI0017326,0.0,1.0
5570,5570,PDGFD,0.0,1.0
5571,5571,DDI1,0.0,1.0
5572,5572,MI0024975,0.0,1.0
5573,5573,CASP12,-1.23309214447586,1.81e-05
5574,5574,LOC643733,0.0,1.0
5575,5575,CASP4,0.0,1.0
5576,5576,CASP5,0.0,1.0
5577,5577,CASP1,0.0,1.0
5578,5578,CARD16,0.0,1.0
5579,5579,AB231723,0.0,1.0
5580,5580,CARD17,0.0,1.0
5581,5581,CARD18,0.0,1.0
5582,5582,GRIA4,0.0,1.0
5583,5583,MSANTD4,0.0,1.0
5584,5584,KBTBD3,0.0,1.0
5585,5585,AASDHPPT,0.0,1.0
5586,5586,BC034795,0.0,1.0
